Record Length,Analog:7000,,,,
Sample Interval,CH1:0.0000010000000 CH2:0.0000010000000,,,,
Vertical Units,CH1:V CH2:V,,,,
Vertical Scale,CH1:0.05 CH2:0.50,,,,
Vertical Offset,CH1:-0.17100 CH2:-0.13000,,,,
Horizontal Units,us,,,,
Horizontal Scale,500,,,,
Model Number,T3DSO1104 ,,,,
Serial Number,T0101C18470265,,,,
Software Version,8.1.6.1.26,,,,
Source,CH1,CH2,,,
Second,Volt,Volt,,voltage,wavelength
0.000131,0.311,0.57,80.57,80.57,-0.19673508
0.000132,0.313,0.57,80.57,80.57,-0.19673508
0.000133,0.307,0.59,80.59,80.59,-0.196794626
0.000134,0.313,0.57,80.57,80.57,-0.19673508
0.000135,0.311,0.59,80.59,80.59,-0.196794626
0.000136,0.309,0.57,80.57,80.57,-0.19673508
0.000137,0.311,0.59,80.59,80.59,-0.196794626
0.000138,0.311,0.59,80.59,80.59,-0.196794626
0.000139,0.309,0.59,80.59,80.59,-0.196794626
0.00014,0.311,0.59,80.59,80.59,-0.196794626
0.000141,0.311,0.59,80.59,80.59,-0.196794626
0.000142,0.315,0.59,80.59,80.59,-0.196794626
0.000143,0.309,0.61,80.61,80.61,-0.196854173
0.000144,0.309,0.61,80.61,80.61,-0.196854173
0.000145,0.309,0.61,80.61,80.61,-0.196854173
0.000146,0.311,0.59,80.59,80.59,-0.196794626
0.000147,0.309,0.59,80.59,80.59,-0.196794626
0.000148,0.311,0.61,80.61,80.61,-0.196854173
0.000149,0.309,0.59,80.59,80.59,-0.196794626
0.00015,0.313,0.61,80.61,80.61,-0.196854173
0.000151,0.311,0.61,80.61,80.61,-0.196854173
0.000152,0.311,0.59,80.59,80.59,-0.196794626
0.000153,0.309,0.61,80.61,80.61,-0.196854173
0.000154,0.311,0.59,80.59,80.59,-0.196794626
0.000155,0.313,0.61,80.61,80.61,-0.196854173
0.000156,0.313,0.61,80.61,80.61,-0.196854173
0.000157,0.311,0.61,80.61,80.61,-0.196854173
0.000158,0.311,0.61,80.61,80.61,-0.196854173
0.000159,0.311,0.59,80.59,80.59,-0.196794626
0.00016,0.311,0.59,80.59,80.59,-0.196794626
0.000161,0.311,0.61,80.61,80.61,-0.196854173
0.000162,0.313,0.61,80.61,80.61,-0.196854173
0.000163,0.309,0.61,80.61,80.61,-0.196854173
0.000164,0.307,0.59,80.59,80.59,-0.196794626
0.000165,0.311,0.61,80.61,80.61,-0.196854173
0.000166,0.313,0.59,80.59,80.59,-0.196794626
0.000167,0.313,0.61,80.61,80.61,-0.196854173
0.000168,0.309,0.61,80.61,80.61,-0.196854173
0.000169,0.311,0.61,80.61,80.61,-0.196854173
0.00017,0.309,0.61,80.61,80.61,-0.196854173
0.000171,0.311,0.61,80.61,80.61,-0.196854173
0.000172,0.311,0.61,80.61,80.61,-0.196854173
0.000173,0.309,0.59,80.59,80.59,-0.196794626
0.000174,0.313,0.59,80.59,80.59,-0.196794626
0.000175,0.311,0.61,80.61,80.61,-0.196854173
0.000176,0.309,0.61,80.61,80.61,-0.196854173
0.000177,0.313,0.61,80.61,80.61,-0.196854173
0.000178,0.309,0.61,80.61,80.61,-0.196854173
0.000179,0.313,0.61,80.61,80.61,-0.196854173
0.00018,0.307,0.61,80.61,80.61,-0.196854173
0.000181,0.311,0.61,80.61,80.61,-0.196854173
0.000182,0.309,0.59,80.59,80.59,-0.196794626
0.000183,0.311,0.61,80.61,80.61,-0.196854173
0.000184,0.311,0.59,80.59,80.59,-0.196794626
0.000185,0.305,0.59,80.59,80.59,-0.196794626
0.000186,0.309,0.61,80.61,80.61,-0.196854173
0.000187,0.313,0.59,80.59,80.59,-0.196794626
0.000188,0.311,0.61,80.61,80.61,-0.196854173
0.000189,0.307,0.61,80.61,80.61,-0.196854173
0.00019,0.313,0.63,80.63,80.63,-0.19691372
0.000191,0.313,0.61,80.61,80.61,-0.196854173
0.000192,0.313,0.59,80.59,80.59,-0.196794626
0.000193,0.309,0.61,80.61,80.61,-0.196854173
0.000194,0.309,0.61,80.61,80.61,-0.196854173
0.000195,0.311,0.59,80.59,80.59,-0.196794626
0.000196,0.311,0.63,80.63,80.63,-0.19691372
0.000197,0.311,0.63,80.63,80.63,-0.19691372
0.000198,0.313,0.63,80.63,80.63,-0.19691372
0.000199,0.313,0.63,80.63,80.63,-0.19691372
0.0002,0.311,0.63,80.63,80.63,-0.19691372
0.000201,0.309,0.63,80.63,80.63,-0.19691372
0.000202,0.309,0.63,80.63,80.63,-0.19691372
0.000203,0.311,0.63,80.63,80.63,-0.19691372
0.000204,0.311,0.63,80.63,80.63,-0.19691372
0.000205,0.309,0.63,80.63,80.63,-0.19691372
0.000206,0.313,0.63,80.63,80.63,-0.19691372
0.000207,0.307,0.63,80.63,80.63,-0.19691372
0.000208,0.309,0.61,80.61,80.61,-0.196854173
0.000209,0.309,0.63,80.63,80.63,-0.19691372
0.00021,0.311,0.63,80.63,80.63,-0.19691372
0.000211,0.313,0.63,80.63,80.63,-0.19691372
0.000212,0.309,0.63,80.63,80.63,-0.19691372
0.000213,0.313,0.63,80.63,80.63,-0.19691372
0.000214,0.313,0.63,80.63,80.63,-0.19691372
0.000215,0.309,0.63,80.63,80.63,-0.19691372
0.000216,0.309,0.63,80.63,80.63,-0.19691372
0.000217,0.309,0.63,80.63,80.63,-0.19691372
0.000218,0.309,0.61,80.61,80.61,-0.196854173
0.000219,0.311,0.63,80.63,80.63,-0.19691372
0.00022,0.313,0.61,80.61,80.61,-0.196854173
0.000221,0.309,0.63,80.63,80.63,-0.19691372
0.000222,0.309,0.61,80.61,80.61,-0.196854173
0.000223,0.311,0.63,80.63,80.63,-0.19691372
0.000224,0.309,0.63,80.63,80.63,-0.19691372
0.000225,0.309,0.63,80.63,80.63,-0.19691372
0.000226,0.307,0.61,80.61,80.61,-0.196854173
0.000227,0.309,0.63,80.63,80.63,-0.19691372
0.000228,0.311,0.63,80.63,80.63,-0.19691372
0.000229,0.313,0.63,80.63,80.63,-0.19691372
0.00023,0.309,0.63,80.63,80.63,-0.19691372
0.000231,0.311,0.63,80.63,80.63,-0.19691372
0.000232,0.309,0.61,80.61,80.61,-0.196854173
0.000233,0.309,0.63,80.63,80.63,-0.19691372
0.000234,0.309,0.63,80.63,80.63,-0.19691372
0.000235,0.309,0.61,80.61,80.61,-0.196854173
0.000236,0.313,0.61,80.61,80.61,-0.196854173
0.000237,0.311,0.63,80.63,80.63,-0.19691372
0.000238,0.311,0.63,80.63,80.63,-0.19691372
0.000239,0.311,0.63,80.63,80.63,-0.19691372
0.00024,0.313,0.65,80.65,80.65,-0.196973266
0.000241,0.311,0.63,80.63,80.63,-0.19691372
0.000242,0.309,0.63,80.63,80.63,-0.19691372
0.000243,0.311,0.65,80.65,80.65,-0.196973266
0.000244,0.313,0.65,80.65,80.65,-0.196973266
0.000245,0.313,0.65,80.65,80.65,-0.196973266
0.000246,0.311,0.65,80.65,80.65,-0.196973266
0.000247,0.311,0.65,80.65,80.65,-0.196973266
0.000248,0.311,0.63,80.63,80.63,-0.19691372
0.000249,0.309,0.63,80.63,80.63,-0.19691372
0.00025,0.311,0.63,80.63,80.63,-0.19691372
0.000251,0.309,0.65,80.65,80.65,-0.196973266
0.000252,0.309,0.65,80.65,80.65,-0.196973266
0.000253,0.311,0.65,80.65,80.65,-0.196973266
0.000254,0.309,0.65,80.65,80.65,-0.196973266
0.000255,0.311,0.65,80.65,80.65,-0.196973266
0.000256,0.311,0.65,80.65,80.65,-0.196973266
0.000257,0.313,0.65,80.65,80.65,-0.196973266
0.000258,0.309,0.65,80.65,80.65,-0.196973266
0.000259,0.311,0.65,80.65,80.65,-0.196973266
0.00026,0.309,0.65,80.65,80.65,-0.196973266
0.000261,0.309,0.65,80.65,80.65,-0.196973266
0.000262,0.311,0.63,80.63,80.63,-0.19691372
0.000263,0.313,0.63,80.63,80.63,-0.19691372
0.000264,0.311,0.65,80.65,80.65,-0.196973266
0.000265,0.311,0.63,80.63,80.63,-0.19691372
0.000266,0.311,0.65,80.65,80.65,-0.196973266
0.000267,0.311,0.65,80.65,80.65,-0.196973266
0.000268,0.307,0.65,80.65,80.65,-0.196973266
0.000269,0.311,0.65,80.65,80.65,-0.196973266
0.00027,0.311,0.65,80.65,80.65,-0.196973266
0.000271,0.309,0.65,80.65,80.65,-0.196973266
0.000272,0.309,0.63,80.63,80.63,-0.19691372
0.000273,0.311,0.65,80.65,80.65,-0.196973266
0.000274,0.313,0.65,80.65,80.65,-0.196973266
0.000275,0.309,0.65,80.65,80.65,-0.196973266
0.000276,0.313,0.63,80.63,80.63,-0.19691372
0.000277,0.309,0.63,80.63,80.63,-0.19691372
0.000278,0.307,0.65,80.65,80.65,-0.196973266
0.000279,0.311,0.65,80.65,80.65,-0.196973266
0.00028,0.311,0.65,80.65,80.65,-0.196973266
0.000281,0.313,0.63,80.63,80.63,-0.19691372
0.000282,0.309,0.65,80.65,80.65,-0.196973266
0.000283,0.309,0.65,80.65,80.65,-0.196973266
0.000284,0.307,0.65,80.65,80.65,-0.196973266
0.000285,0.309,0.65,80.65,80.65,-0.196973266
0.000286,0.311,0.65,80.65,80.65,-0.196973266
0.000287,0.307,0.67,80.67,80.67,-0.197032813
0.000288,0.311,0.67,80.67,80.67,-0.197032813
0.000289,0.309,0.65,80.65,80.65,-0.196973266
0.00029,0.311,0.65,80.65,80.65,-0.196973266
0.000291,0.313,0.65,80.65,80.65,-0.196973266
0.000292,0.315,0.67,80.67,80.67,-0.197032813
0.000293,0.309,0.65,80.65,80.65,-0.196973266
0.000294,0.313,0.67,80.67,80.67,-0.197032813
0.000295,0.309,0.67,80.67,80.67,-0.197032813
0.000296,0.311,0.67,80.67,80.67,-0.197032813
0.000297,0.309,0.67,80.67,80.67,-0.197032813
0.000298,0.311,0.67,80.67,80.67,-0.197032813
0.000299,0.309,0.67,80.67,80.67,-0.197032813
0.0003,0.309,0.67,80.67,80.67,-0.197032813
0.000301,0.307,0.67,80.67,80.67,-0.197032813
0.000302,0.311,0.67,80.67,80.67,-0.197032813
0.000303,0.307,0.67,80.67,80.67,-0.197032813
0.000304,0.307,0.65,80.65,80.65,-0.196973266
0.000305,0.309,0.67,80.67,80.67,-0.197032813
0.000306,0.311,0.67,80.67,80.67,-0.197032813
0.000307,0.311,0.65,80.65,80.65,-0.196973266
0.000308,0.305,0.65,80.65,80.65,-0.196973266
0.000309,0.311,0.67,80.67,80.67,-0.197032813
0.00031,0.309,0.65,80.65,80.65,-0.196973266
0.000311,0.313,0.67,80.67,80.67,-0.197032813
0.000312,0.311,0.67,80.67,80.67,-0.197032813
0.000313,0.305,0.65,80.65,80.65,-0.196973266
0.000314,0.313,0.67,80.67,80.67,-0.197032813
0.000315,0.311,0.67,80.67,80.67,-0.197032813
0.000316,0.309,0.65,80.65,80.65,-0.196973266
0.000317,0.309,0.67,80.67,80.67,-0.197032813
0.000318,0.309,0.67,80.67,80.67,-0.197032813
0.000319,0.311,0.67,80.67,80.67,-0.197032813
0.00032,0.307,0.65,80.65,80.65,-0.196973266
0.000321,0.307,0.65,80.65,80.65,-0.196973266
