voltage,wavelength
52.6,-0.12165301 
52.7,-0.12190673 
52.8,-0.12217109 
52.9,-0.12243366 
53,-0.12272175 
53.1,-0.12299201 
53.2,-0.12326171 
53.3,-0.12353216 
53.4,-0.12381291 
53.5,-0.12411116 
53.6,-0.12440235 
53.7,-0.12467239 
53.8,-0.12496039 
53.9,-0.12525057 
54,-0.12555894 
54.1,-0.12584750 
54.2,-0.12611966 
54.3,-0.12639876 
54.4,-0.12668912 
54.5,-0.12698455 
54.6,-0.12727278 
54.7,-0.12755696 
54.8,-0.12784399 
54.9,-0.12814142 
55,-0.12843968 
55.1,-0.12873786 
55.2,-0.12901593 
55.3,-0.12930209 
55.4,-0.12959755 
55.5,-0.12989388 
55.6,-0.13017707 
55.7,-0.13045125 
55.8,-0.13072355 
55.9,-0.13101127 
56,-0.13129665 
56.1,-0.13156481 
56.2,-0.13183886 
56.3,-0.13211530 
56.4,-0.13237086 
56.5,-0.13263048 
56.6,-0.13289391 
56.7,-0.13315027 
56.8,-0.13339662 
56.9,-0.13364632 
57,-0.13390803 
57.1,-0.13417360 
57.2,-0.13443693 
57.3,-0.13468943 
57.4,-0.13493788 
57.5,-0.13518958 
57.6,-0.13546119 
57.7,-0.13571335 
57.8,-0.13596062 
57.9,-0.13619303 
58,-0.13645248 
58.1,-0.13671773 
58.2,-0.13698183 
58.3,-0.13722665 
58.4,-0.13745891 
58.5,-0.13770424 
58.6,-0.13796637 
58.7,-0.13821296 
58.8,-0.13844855 
58.9,-0.13866942 
59,-0.13890950 
59.1,-0.13918732 
59.2,-0.13945378 
59.3,-0.13969665 
59.4,-0.13993391 
59.5,-0.14017701 
59.6,-0.14044866 
59.7,-0.14071725 
59.8,-0.14096598 
59.9,-0.14121086 
60,-0.14145776 
60.1,-0.14173086 
60.2,-0.14199896 
60.3,-0.14223994 
60.4,-0.14249170 
60.5,-0.14273809 
60.6,-0.14299558 
60.7,-0.14327362 
60.8,-0.14354158 
60.9,-0.14380337 
61,-0.14407157 
61.1,-0.14435429 
61.2,-0.14464619 
61.3,-0.14493517 
61.4,-0.14520478 
61.5,-0.14547898 
61.6,-0.14576630 
61.7,-0.14607412 
61.8,-0.14637291 
61.9,-0.14665248 
62,-0.14693342 
62.1,-0.14722876 
62.2,-0.14752988 
62.3,-0.14781181 
62.4,-0.14807129 
62.5,-0.14831939 
62.6,-0.14859839 
62.7,-0.14888609 
62.8,-0.14915901 
62.9,-0.14941166 
63,-0.14966589 
63.1,-0.14992035 
63.2,-0.15017929 
63.3,-0.15044357 
63.4,-0.15071022 
63.5,-0.15099462 
63.6,-0.15127601 
