voltage,wavelength
43.6,-0.0979615
43.7,-0.0982035
43.8,-0.0984725
43.9,-0.0987345
44,-0.0989935
44.1,-0.0992365
44.2,-0.0994755
44.3,-0.0997355
44.4,-0.0999975
44.5,-0.1002535
44.6,-0.1005045
44.7,-0.1007405
44.8,-0.1010075
44.9,-0.1012835
45,-0.1015615
45.1,-0.1018305
45.2,-0.1020815
45.3,-0.1023565
45.4,-0.1026455
45.5,-0.1029315
45.6,-0.1032005
45.7,-0.1034605
45.8,-0.1037235
45.9,-0.1040055
46,-0.1042855
46.1,-0.1045565
46.2,-0.1048035
46.3,-0.1050655
46.4,-0.1053465
46.5,-0.1056545
46.6,-0.1059355
46.7,-0.1062005
46.8,-0.1064655
46.9,-0.1067365
47,-0.1070045
47.1,-0.1072885
47.2,-0.1075345
47.3,-0.1077855
47.4,-0.1080725
47.5,-0.1083485
47.6,-0.1086275
47.7,-0.1088695
47.8,-0.1091195
47.9,-0.1093885
48,-0.1096655
48.1,-0.1099275
48.2,-0.1101545
48.3,-0.1103685
48.4,-0.1106275
48.5,-0.1108945
48.6,-0.1111595
48.7,-0.1113955
48.8,-0.1116165
48.9,-0.1118775
49,-0.1121615
49.1,-0.1124345
49.2,-0.1126745
49.3,-0.1128955
49.4,-0.1131395
49.5,-0.1134265
49.6,-0.1137045
49.7,-0.1139615
49.8,-0.1141945
49.9,-0.1144555
50,-0.1147455
50.1,-0.1150295
50.2,-0.1152855
50.3,-0.1155275
50.4,-0.1157675
50.5,-0.1160415
50.6,-0.1163165
50.7,-0.1165745
50.8,-0.1168205
50.9,-0.1170805
51,-0.1173645
51.1,-0.1176635
51.2,-0.1179365
51.3,-0.1181945
51.4,-0.1184645
51.5,-0.1187415
51.6,-0.1190265
51.7,-0.1192895
51.8,-0.1195385
51.9,-0.1197965
52,-0.1200715
52.1,-0.1203475
52.2,-0.1206155
52.3,-0.1208705
52.4,-0.1211305
52.5,-0.1213955
52.6,-0.1216695
52.7,-0.1219275
52.8,-0.1221815
52.9,-0.1224465
53,-0.1227095
53.1,-0.1229975
53.2,-0.1232675
53.3,-0.1235375
53.4,-0.1238085
53.5,-0.1240895
