voltage,wavelength
113.2,-0.279156667
113.3,-0.279404
113.4,-0.279650667
113.5,-0.279930667
113.6,-0.280218
113.7,-0.280496
113.8,-0.280753333
113.9,-0.280995333
114,-0.281269333
114.1,-0.281548
114.2,-0.281828667
114.3,-0.282086
114.4,-0.282328
114.5,-0.282596667
114.6,-0.282880667
114.7,-0.283161333
114.8,-0.283424
114.9,-0.283674
115,-0.283941333
115.1,-0.284224667
115.2,-0.284503333
115.3,-0.284762667
115.4,-0.285008667
115.5,-0.285274667
115.6,-0.285552
115.7,-0.285819333
115.8,-0.286072667
115.9,-0.286319333
116,-0.286576
116.1,-0.286848
116.2,-0.287123333
116.3,-0.287382
116.4,-0.287631333
116.5,-0.287885333
116.6,-0.288158
116.7,-0.288410667
116.8,-0.288649333
116.9,-0.288890667
117,-0.289132667
117.1,-0.289396
117.2,-0.289670667
117.3,-0.289931333
117.4,-0.290189333
117.5,-0.290437333
117.6,-0.290693333
117.7,-0.290948667
117.8,-0.291198
117.9,-0.291442
118,-0.291682667
118.1,-0.291911333
118.2,-0.292167333
118.3,-0.292422
118.4,-0.292669333
118.5,-0.292912
118.6,-0.293148
118.7,-0.293394667
118.8,-0.293644
118.9,-0.293894
119,-0.294144667
119.1,-0.29437
119.2,-0.294605333
119.3,-0.294856
119.4,-0.295104667
119.5,-0.295358667
119.6,-0.295605333
119.7,-0.295852
119.8,-0.296103333
119.9,-0.296377333
120,-0.296664667
120.1,-0.29693
120.2,-0.297173333
120.3,-0.29741
120.4,-0.29767
120.5,-0.297922667
120.6,-0.298170667
120.7,-0.298408
120.8,-0.298650667
120.9,-0.298902
121,-0.29926
121.1,-0.299518
121.2,-0.299766667
121.3,-0.299955333
121.4,-0.300193333
121.5,-0.300455333
121.6,-0.300715333
121.7,-0.30097
121.8,-0.301217333
121.9,-0.301468
122,-0.301754667
122.1,-0.302046
122.2,-0.302308667
122.3,-0.302559333
122.4,-0.302807333
122.5,-0.303078667
122.6,-0.303354667
122.7,-0.303618
122.8,-0.303874
122.9,-0.304130667
123,-0.304408
123.1,-0.304692
123.2,-0.304967333
123.3,-0.30523
123.4,-0.305493333
123.5,-0.305762667
123.6,-0.306038667
123.7,-0.306309333
123.8,-0.306574
123.9,-0.306836
124,-0.307092667
124.1,-0.307364667
124.2,-0.307637333
124.3,-0.307905333
124.4,-0.308172
124.5,-0.308427333
124.6,-0.308697333
124.7,-0.308962667
124.8,-0.309212667
124.9,-0.309455333
125,-0.309688
125.1,-0.309934667
125.2,-0.310194667
125.3,-0.310444667
125.4,-0.310694
125.5,-0.31093
125.6,-0.311187333
125.7,-0.311458667
125.8,-0.311714667
125.9,-0.311955333
126,-0.31219
126.1,-0.312434
126.2,-0.312705333
126.3,-0.312967333
126.4,-0.313217333
126.5,-0.313467333
126.6,-0.313703333
126.7,-0.31398
126.8,-0.314238
126.9,-0.314482
127,-0.314709333
127.1,-0.314941333
127.2,-0.315195333
127.3,-0.315456667
127.4,-0.315700667
127.5,-0.315939333
127.6,-0.316176667
127.7,-0.316427333
127.8,-0.316701333
127.9,-0.316962667
128,-0.317204667
128.1,-0.317436667
128.2,-0.317693333
128.3,-0.317959333
128.4,-0.318244667
128.5,-0.318496667
128.6,-0.318730667
128.7,-0.318971333
128.8,-0.319231333
128.9,-0.319516667
129,-0.319780667
129.1,-0.320024
129.2,-0.320264
129.3,-0.320513333
129.4,-0.320788
129.5,-0.321056667
129.6,-0.321304667
129.7,-0.321529333
129.8,-0.321762
129.9,-0.322014667
130,-0.322288667
130.1,-0.322544667
130.2,-0.322779333
130.3,-0.323005333
130.4,-0.323248
130.5,-0.323510667
130.6,-0.323780667
130.7,-0.324028667
130.8,-0.324264667
130.9,-0.324504667
131,-0.324765333
131.1,-0.32505
131.2,-0.325311333
131.3,-0.325548
131.4,-0.325776667
131.5,-0.326024667
131.6,-0.326289333
131.7,-0.326553333
131.8,-0.326805333
131.9,-0.327044
132,-0.327293333
132.1,-0.327556
132.2,-0.327842
132.3,-0.32811
132.4,-0.328362
132.5,-0.328606667
132.6,-0.328862
132.7,-0.329148
132.8,-0.329424
132.9,-0.329685333
133,-0.329929333
133.1,-0.330171333
133.2,-0.330436667
133.3,-0.330706
133.4,-0.330966
