step_points,gap,middle_points,middle_average,delta_w,fdelta_w,voltage_set
16437,61,16467,1549.973812,-0.0002815,-0.0511475,24.9
16498,61,16528,1549.973531,-0.0003615,-0.0514285,25
16559,57,16587,1549.973169,-0.000184,-0.0517905,25.1
16616,61,16646,1549.972985,-0.000139,-0.0519745,25.2
16677,60,16707,1549.972846,-0.0002095,-0.0521135,25.3
16737,62,16768,1549.972637,-0.0002155,-0.0523225,25.4
16799,61,16829,1549.972421,-0.000234,-0.0525385,25.5
16860,60,16890,1549.972187,-0.0002455,-0.0527725,25.6
16920,60,16950,1549.971941,-0.000245,-0.0530185,25.7
16980,62,17011,1549.971696,-0.000225,-0.0532635,25.8
17042,60,17072,1549.971472,-0.000206,-0.0534875,25.9
17102,63,17133,1549.971265,-0.000213,-0.0536945,26
17165,60,17195,1549.971053,-0.000237,-0.0539065,26.1
17225,62,17256,1549.970815,-0.0002395,-0.0541445,26.2
17287,60,17317,1549.970576,-0.000231,-0.0543835,26.3
17347,61,17377,1549.970345,-0.0002105,-0.0546145,26.4
17408,63,17439,1549.970135,-0.0002,-0.0548245,26.5
17471,63,17502,1549.969934,-0.0002065,-0.0550255,26.6
17534,62,17565,1549.969728,-0.000237,-0.0552315,26.7
17596,60,17626,1549.969491,-0.0002515,-0.0554685,26.8
17656,59,17685,1549.969239,-0.0002375,-0.0557205,26.9
17715,60,17745,1549.969002,-0.000216,-0.0559575,27
17775,65,17807,1549.968786,-0.0002175,-0.0561735,27.1
17840,59,17869,1549.968569,-0.0002245,-0.0563905,27.2
17899,63,17930,1549.968344,-0.000254,-0.0566155,27.3
17962,60,17992,1549.96809,-0.0002535,-0.0568695,27.4
18022,62,18053,1549.967837,-0.000229,-0.0571225,27.5
18084,61,18114,1549.967608,-0.00022,-0.0573515,27.6
18145,62,18176,1549.967388,-0.000212,-0.0575715,27.7
18207,61,18237,1549.967176,-0.0002355,-0.0577835,27.8
18268,65,18300,1549.96694,-0.0002755,-0.0580195,27.9
18333,62,18364,1549.966664,-0.000266,-0.0582955,28
18395,63,18426,1549.966399,-0.000244,-0.0585605,28.1
18458,62,18489,1549.966155,-0.000236,-0.0588045,28.2
18520,63,18551,1549.965918,-0.000233,-0.0590415,28.3
18583,61,18613,1549.965686,-0.000274,-0.0592735,28.4
18644,62,18675,1549.965412,-0.00026,-0.0595475,28.5
18706,62,18737,1549.965152,-0.0002385,-0.0598075,28.6
18768,62,18799,1549.964913,-0.0002195,-0.0600465,28.7
18830,58,18859,1549.964694,-0.0002095,-0.0602655,28.8
